altitude,vs,cas,tas,aoa,cl,cd,drag,lift,mass,thrust
0.0,0.0,163.64758103419967,163.64758101601095,1.800000000000001,0.31837866666666664,0.036255666666666665,26743.97545691628,298573.085362097,59951.83967888078,186166.2346914268
0.0,0.0,163.7184848880681,163.71848486985434,1.850000000000001,0.32394599999999996,0.036391,26832.382651922708,301668.57154582534,59951.812006266264,186147.05900655556
0.0,0.0,163.78894688802148,163.7889468697845,1.900000000000001,0.32576979999999994,0.0365114,26912.908454773846,302784.0253791833,59951.78433636077,186127.99835977572
0.0,0.0,163.85899995558944,163.85899993733145,1.950000000000001,0.33009449999999996,0.0366065,26980.02476962221,305227.08767528716,59951.75666914688,186109.0602342353
0.0,0.0,163.92864218605044,163.92864216776783,2.000000000000001,0.3348423333333333,0.036732,27063.279785338887,307897.954372835,59951.729004608445,186090.23571404675
0.0,0.0,163.99786510126114,163.99786508295622,2.0500000000000007,0.3385495,0.0368595,27147.62058242716,310019.2438294807,59951.70134272924,186071.5252463524
0.0,0.0,164.06667761012253,164.06667759179544,2.1000000000000005,0.3428885,0.036987,27231.982993277652,312479.0785018761,59951.67368349274,186052.93104381041
0.0,0.0,164.1350812962338,164.135081277884,2.1500000000000004,0.347441,0.037126,27322.489891385998,315055.6029324096,59951.64602688277,186034.4506486664
0.0,0.0,164.203078136166,164.20307811779375,2.2,0.351616,0.037252999999999994,27406.635660902637,317434.20088317286,59951.61837288321,186016.08357212084
0.0,0.0,164.27066871056533,164.27066869216978,2.25,0.355824,0.037388,27495.06809255083,319833.2279849029,59951.59072147804,185997.82922059027
0.0,0.0,164.33784882949476,164.33784881107817,2.3,0.35833099999999996,0.037478,27559.512986624308,321327.3359175119,59951.56307265125,185979.6873759114
0.0,0.0,164.40462488508615,164.40462486664651,2.3499999999999996,0.3627601666666666,0.0376305,27657.324318289513,323849.3646449682,59951.53542638671,185961.65910051033
0.0,0.0,164.4710052295503,164.47100521108752,2.3999999999999995,0.36766099999999996,0.037783,27755.17627738278,326626.4803828375,59951.507782668516,185943.74261736876
0.0,0.0,164.5369854804048,164.53698546192038,2.4499999999999993,0.37133,0.037908,27838.35829946839,328747.97713920753,59951.4801414811,185925.93562536483
0.0,0.0,164.6025695037959,164.60256948529008,2.499999999999999,0.375698,0.038057999999999995,27934.940572438507,331245.96760174714,59951.452502808745,185908.23924062192
0.0,0.0,164.66775940223084,164.6677593837028,2.549999999999999,0.380272,0.038219,28037.453624772756,333857.1714786786,59951.424866635876,185890.65236702198
0.0,0.0,164.7325552863407,164.7325552677927,2.5999999999999988,0.3840845,0.0383545,28126.33802481819,336063.0113430514,59951.39723294701,185873.17438236842
0.0,0.0,164.79695876245165,164.79695874388068,2.6499999999999986,0.387906,0.038493,28216.85510738068,338275.9873409126,59951.36960172669,185855.80519912046
0.0,0.0,164.8609697817449,164.8609697631529,2.6999999999999984,0.39183033333333334,0.03864466666666666,28314.46829468991,340546.48246437404,59951.341972959504,185838.54432928364
0.0,0.0,164.9245993875829,164.92459936897052,2.7499999999999982,0.3960712,0.0387818,28404.304219858368,342989.4603052678,59951.31434663007,185821.39172899752
0.0,0.0,164.98784794920178,164.98784793056743,2.799999999999998,0.40097479999999996,0.038959,28515.71650492245,345791.54023520846,59951.28672272341,185804.34438324082
0.0,0.0,165.05069639631398,165.05069637765757,2.849999999999998,0.40454924999999997,0.03914574999999999,28632.325834818115,347881.2286146996,59951.2591012246,185787.40213843744
0.0,0.0,165.11318874090108,165.11318872222557,2.8999999999999977,0.41022,0.039295,28728.790139452653,351102.22012257506,59951.23148211796,185770.57004724815
0.0,0.0,165.17528533951426,165.17528532081838,2.9499999999999975,0.41329,0.039458,28832.70456754185,352924.7801359575,59951.20386538953,185753.83626881675
0.0,0.0,165.23700426390002,165.23700424518228,2.9999999999999973,0.4172045,0.03961,28930.720639911822,355204.48390382715,59951.17625102382,185737.21136568196
0.0,0.0,165.2983506606984,165.29835064196035,3.049999999999997,0.42166899999999996,0.039782,29039.56701602952,357783.36263274134,59951.14863900605,185720.69044545077
0.0,0.0,165.35932050841373,165.35932048965464,3.099999999999997,0.42513399999999996,0.039923,29131.709827655908,359824.78383354883,59951.12102932165,185704.27207830912
