Mass,Altitude,Pressure,Density,Temperature,Cas,Tas,Vy,VS,Drag,Thrust,T-D,Pitch,FPA,AOA,Q,AccelerationX,AccelerationY,DistanceX,Dx,Dy,Phase,Cd,Cd0,Gear,Flaps,Cl,Lift,Weight,L-W
75500,303.7783652262722,97730.64598874298,1.1896908965028714,286.17700725942984,85.30323055318583,86.53531813786113,14.458530434579163,2846.1674083817247,50991.49423833903,208090.25731014146,-34017.02149544284,15.0,9.486797301800072,5.513202698199928,8910.519611537675,-0.49080425306419506,-0.3241147223554805,1851.5506445669503,1.4423234695550553,0.24102052317664652,T/O C,0.07990624728459408,7559.117044,False,2,1.0430354514073739,697034.7585629618,738414.6884999999,-16219.059570385609
75500,304.01929571488654,97727.83354544638,1.1896631728114222,286.17544062602923,85.29418828805686,86.52713868251448,14.45312819914288,2845.103976209228,50989.769776589026,208092.08071314872,-34013.47363068559,15.0,9.484198005856534,5.515801994143466,8908.627645734041,-0.4907673207989285,-0.32413412617700843,1852.99283170712,1.4421871401697965,0.24093048861435035,T/O C,0.07992004402495552,7559.117044,False,2,1.043252425299694,697032.2912477404,738414.6884999999,-16221.526885607047
75500,304.26013616357307,97725.02221825618,1.1896354599703225,286.1738745778532,85.2851471781347,86.5189598426682,14.447725643240751,2844.0404809529036,50988.0495652114,208093.90420928705,-34009.929923169635,15.0,9.481597905409059,5.518402094590941,8906.73612559579,-0.4907303907771767,-0.32415335412773283,1854.4348825281634,1.4420508210431888,0.24084044868653026,T/O C,0.07993385045016793,7559.117044,False,2,1.0434694665109794,697029.8387930999,738414.6884999999,-16223.979340247577
75500,304.50088656701496,97722.21200716052,1.1896077579796307,286.17230911493675,85.27610722327792,86.5107816182808,14.442322769785017,2842.976923186027,50986.33359923876,208095.7277986264,-34006.390367857646,15.0,9.478997002157868,5.521002997842132,8904.845051013666,-0.4906934632436099,-0.32417240734402264,1855.876797040338,1.4419145121745751,0.24075040344188142,T/O C,0.07994766655616611,7559.117044,False,2,1.0436865748983437,697027.4011088681,738414.6884999999,-16226.417024479364
75500,304.74154691994374,97719.4029121468,1.1895800668393983,286.17074423731435,85.26706842333752,86.50260400930678,14.436919581669088,2841.9133034781667,50984.62187372741,208097.5514812372,-34002.8549597355,15.0,9.476395297792246,5.523604702207754,8902.954421877546,-0.49065653844143214,-0.32419128695574806,1857.3185752539014,1.4417782135632298,0.24066035292878418,T/O C,0.07996149233893063,7559.117044,False,2,1.043903750319818,697024.9781053871,738414.6884999999,-16228.840027960367
75500,304.98211721713903,97716.59493320208,1.1895523865496727,286.16917994502035,85.25803077816133,86.49442701569657,14.431516081767649,2840.849622395206,50982.914383757365,208099.37525719107,-33999.32369381157,15.0,9.47379279399059,5.52620720600941,8901.06423807647,-0.49061961661237596,-0.3242099940862894,1858.7602171791098,1.4416419252083614,0.24057029719530615,T/O C,0.07997532779448763,7559.117044,False,2,1.0441209926343475,697022.5696935122,738414.6884999999,-16231.248439835268
75500,305.22259745342825,97713.78807031267,1.1895247171104943,286.16761623808856,85.24899428759554,86.48625063739662,14.426112272936772,2839.7858804993643,50981.21112443215,208101.19912656117,-33995.79656511627,15.0,9.47118949242049,5.528810507579511,8899.174499498618,-0.4905826979967101,-0.3242285298525882,1860.2017228262189,1.44150564710911,0.2404802362892035,T/O C,0.0799891729189086,7559.117044,False,2,1.0443383017017858,697020.1757846079,738414.6884999999,-16233.642348739551
75500,305.46298762368616,97710.98232346441,1.189497058521899,286.1660531165527,85.23995895147799,86.4780748743494,14.420708158014019,2838.722078349216,50979.512090878685,208103.02308942136,-33992.2735687026,15.0,9.468585394738762,5.531414605261238,8897.28520603134,-0.490545782833259,-0.3242468953651934,1861.6430922054835,1.4413693792645503,0.24039017025792322,T/O C,0.08000302770831019,7559.117044,False,2,1.0445556773828892,697017.7962905444,738414.6884999999,-16236.021842802991
75500,305.7032877228348,97708.17769264265,1.1894694107839168,286.164490580446,85.23092476964563,86.46989972649341,14.415303739818548,2837.658216499714,50977.81727824729,208104.84714584687,-33988.75469964571,15.0,9.46598050259154,5.53401949740846,8895.396357561158,-0.49050887135940013,-0.32426509172827345,1863.0843253271573,1.4412331216736902,0.24030009914860473,T/O C,0.08001689215885405,7559.117044,False,2,1.0447731195393133,697015.4311236967,738414.6884999999,-16238.387009650702
75500,305.9434977458429,97705.37417783236,1.1894417738965752,286.16292862980157,85.22189174193147,86.46172519376323,14.40989902115122,2836.5942955022088,50976.12668171145,208106.67129591387,-33985.23995304288,15.0,9.463374817614303,5.536625182385697,8893.507953973776,-0.49047196381107616,-0.32428312003966075,1864.5254222014928,1.441096874335472,0.2402100230080814,T/O C,0.0800307662667464,7559.117044,False,2,1.0449906280336063,697013.0801969408,738414.6884999999,-16240.73793640663
75500,306.18361768772576,97702.5717790175,1.1894141478598907,286.161367264652,85.21285986816093,86.45355127608951,14.404494004794705,2835.5303159044693,50974.440296467554,208108.49553969983,-33981.729324012995,15.0,9.460768341431958,5.539231658568042,8891.619995154042,-0.49043506042281043,-0.3243009813909335,1865.9663828387415,1.4409606372487729,0.24011994188288271,T/O C,0.0800446500282381,7559.117044,False,2,1.0452082027292056,697010.7434236474,738414.6884999999,-16243.074709700071
75500,306.423647543545,97699.77049618222,1.1893865326738824,286.1598064850298,85.20382914816005,86.44537797339905,14.399088693513582,2834.466278250705,50972.758117735226,208110.3198772831,-33978.22280769743,15.0,9.45816107565888,5.5418389243411195,8889.732480986044,-0.49039816142770265,-0.32431867686735905,1867.407207249154,1.4408244104124046,0.24002985581923572,T/O C,0.08005854343962421,7559.117044,False,2,1.0454258434904316,697008.4207176864,738414.6884999999,-16245.39741566102
