AOA,Weight,Gravity,Pitch,TAS,IAS,Rho,Lift,Drag,Thrust[0],Thrust[1],Cl,Cd
2.132459,64074.08984,9.793585,2.032904,148.052139,265.416504,1.055104,622569.375,36450.39453,62287.96875,0,0.350357,0.020513
2.130776,64074.05078,9.793585,2.031181,148.082458,265.472351,1.055104,622568.125,36456.15234,62286.91406,9,0.350213,0.020508
2.128941,64074.01172,9.793585,2.029316,148.115036,265.532501,1.055105,622673.0625,36466.53125,62285.82031,85.441406,0.350118,0.020504
2.127275,64073.96094,9.793585,2.027622,148.144547,265.586884,1.055105,622662.6875,36473.28516,62285.15234,0,0.349972,0.0205
2.125715,64073.91797,9.793585,2.026012,148.172897,265.638977,1.055105,622484.875,36474.77344,62284.37109,10.75,0.349738,0.020493
2.124123,64073.87891,9.793585,2.024384,148.201706,265.691986,1.055105,622601,36484.63672,62283.37109,0.004724,0.349668,0.020491
2.122413,64073.83984,9.793585,2.022652,148.232162,265.748138,1.055106,622725.9375,36493.90625,62282.28906,8.827393,0.349594,0.020487
2.120542,64073.80469,9.793585,2.020728,148.266327,265.811157,1.055106,622537.125,36494.67188,62281.13672,0,0.349327,0.020478
2.11875,64073.75391,9.793585,2.018901,148.298767,265.871033,1.055106,622655.6875,36506.29688,62280.03516,0,0.349241,0.020476
2.11703,64073.70703,9.793585,2.017148,148.329865,265.928375,1.055106,622661.25,36514.07813,62279.35156,78251.50781,0.349097,0.020472
2.11544,64073.66406,9.793585,2.015515,148.359085,265.982086,1.055107,622571.375,36518.27734,62278.64063,-1.3718E+13,0.348909,0.020466
2.113782,64073.625,9.793585,2.013821,148.389526,266.038177,1.055107,622635.4375,36526.86719,62277.51563,80.855469,0.348802,0.020462
2.111933,64073.58984,9.793585,2.011945,148.42308,266.100128,1.055107,622728.375,36535.60156,62276.25,0,0.348696,0.020458
2.1103,64073.53516,9.793585,2.010267,148.453323,266.155792,1.055107,622575.9375,36539.40234,62275.51953,63053.35156,0.348469,0.020452
2.108651,64073.49609,9.793585,2.00859,148.483566,266.211548,1.055108,622716.5,36549.94922,62274.66406,0,0.348405,0.020449
2.106968,64073.45313,9.793585,2.006877,148.514435,266.268402,1.055108,622696.5,36556.57813,62273.58594,34.885742,0.348249,0.020445
2.105381,64073.41016,9.793585,2.00526,148.543655,266.322113,1.055108,622694.625,36562.94141,62272.86328,63037.54297,0.348111,0.02044
2.103795,64073.37109,9.793585,2.003644,148.572922,266.376007,1.055108,622690.125,36569.55469,62271.92578,0,0.347971,0.020436
2.102011,64073.33203,9.793585,2.001834,148.605606,266.43631,1.055109,622751.9375,36577.44141,62270.71094,64238.41016,0.347853,0.020431
2.100455,64073.28125,9.793585,2.000247,148.634384,266.489258,1.055109,622690.5,36583.29297,62270.09766,62973.05078,0.347684,0.020427
2.098832,64073.24609,9.793585,1.998589,148.664581,266.544922,1.055109,622677.9375,36589.50391,62269.01563,9,0.347535,0.020422
2.097237,64073.19922,9.793585,1.996978,148.693909,266.598877,1.055109,622810.375,36599.80859,62268.21875,44.459961,0.347472,0.020419
2.095685,64073.16016,9.793585,1.995396,148.722748,266.651917,1.05511,622706.625,36603.71484,62267.36719,0,0.347279,0.020414
2.09404,64073.12109,9.793585,1.993726,148.753265,266.70816,1.05511,622761.0625,36611.14453,62266.29297,0,0.347167,0.020409
2.092349,64073.08203,9.793585,1.992012,148.784439,266.765686,1.05511,622795.9375,36619.35547,62265.19531,0,0.347041,0.020405
2.090724,64073.03516,9.793585,1.990364,148.814499,266.821014,1.05511,622777.8125,36625.4375,62264.52734,63399.09375,0.346891,0.020401
2.089108,64072.99609,9.793585,1.98872,148.84465,266.876526,1.055111,622738.5625,36631.19531,62263.54688,691.5625,0.346728,0.020396
2.087524,64072.95313,9.793585,1.987113,148.874084,266.930725,1.055111,622794,36639.96875,62262.70313,806.703125,0.346622,0.020392
2.085941,64072.91016,9.793585,1.985512,148.903427,266.984741,1.055111,622826.625,36647.22656,62261.83203,63279.89063,0.346503,0.020388
2.084331,64072.87109,9.793585,1.983877,148.933456,267.040039,1.055111,622775.25,36652.37891,62260.875,0,0.346335,0.020383
2.082619,64072.83203,9.793585,1.982151,148.965103,267.098389,1.055112,622871.1875,36661.36719,62259.83594,0,0.346241,0.020379
2.081038,64072.78516,9.793585,1.980551,148.994431,267.152374,1.055112,622815.875,36667.67188,62259.12891,0,0.346074,0.020375
2.079448,64072.74609,9.793585,1.978942,149.023941,267.206757,1.055112,622834.125,36674.16797,62258.25,0,0.345947,0.02037
2.07781,64072.70703,9.793585,1.977285,149.054337,267.262756,1.055112,622842.0625,36681.49609,62257.29688,1.08465E+21,0.34581,0.020366
2.076277,64072.66016,9.793585,1.97574,149.082657,267.31485,1.055113,622880.4375,36689.33594,62256.51172,0.999741,0.3457,0.020363
