ALTITUDE,Mach,Thrust
1000,70000,0.68,87360
1000,70000,0.681,87436
1000,70000,0.682,87486
1000,70000,0.683,87537
1000,70000,0.684,87612
1000,70000,0.685,87668
1000,70000,0.686,87718
1000,70000,0.687,87797
1000,70000,0.688,87849
1000,70000,0.689,87900
1000,70000,0.69,87978
1000,70000,0.691,88031
1000,70000,0.692,88113
1000,70000,0.693,88161
1000,70000,0.694,88218
1000,70000,0.695,88300
1000,70000,0.696,88357
1000,70000,0.697,88411
1000,70000,0.698,88500
1000,70000,0.699,88559
1000,70000,0.7,88617
1000,70000,0.701,88675
1000,70000,0.702,88735
1000,70000,0.703,88827
1000,70000,0.704,88889
1000,70000,0.705,88950
1000,70000,0.706,89013
1000,70000,0.707,89075
1000,70000,0.708,89140
1000,70000,0.709,89204
1000,70000,0.71,89268
1000,70000,0.711,89364
1000,70000,0.712,89428
1000,70000,0.713,89493
1000,70000,0.714,89557
1000,70000,0.715,89623
1000,70000,0.716,89689
1000,70000,0.717,89757
1000,70000,0.718,89824
1000,70000,0.719,89893
1000,70000,0.72,89961
1000,70000,0.721,90029
1000,70000,0.722,90100
1000,70000,0.723,90171
1000,70000,0.724,90242
1000,70000,0.725,90312
1000,70000,0.726,90382
1000,70000,0.727,90486
1000,70000,0.728,90555
1000,70000,0.729,90622
1000,70000,0.73,90692
1000,70000,0.731,90761
1000,70000,0.732,90829
1000,70000,0.733,90896
1000,70000,0.734,90999
1000,70000,0.735,91067
1000,70000,0.736,91134
1000,70000,0.737,91233
1000,70000,0.738,91300
1000,70000,0.739,91367
1000,70000,0.74,91466
1000,70000,0.741,91530
1000,70000,0.742,91627
1000,70000,0.743,91692
1000,70000,0.744,91787
1000,70000,0.745,91850
1000,70000,0.746,91945
1000,70000,0.747,92036
1000,70000,0.748,92126
1000,70000,0.749,92215
1000,70000,0.75,92305
1000,70000,0.751,92392
1000,70000,0.752,92478
1000,70000,0.753,92563
1000,70000,0.754,92648
1000,70000,0.755,92758
1000,70000,0.756,92837
1000,70000,0.757,92945
1000,70000,0.758,93027
1000,70000,0.759,93140
