AOA,Weight,Gravity,Pitch,TAS,IAS,Rho,Q,QS,Calculated CL,Lift,Drag,Thrust[0],Thrust[1],Cl,Cd,Wing Surface,,
6.494724,64135.41016,9.793593,7.350091,102.124367,180.21553,1.055369,5503.423725,88963.55995,7.060375,605419.5625,34283.83203,79642.95313,0,0.715882,0.040539,122,6,
6.483335,64135.35156,9.793593,7.33777,102.163322,180.284149,1.055365,5507.603839,89031.13205,7.05501,605000.0625,34249.33594,79680.59375,0,0.714843,0.040468,122,6,
6.471961,64135.30078,9.793593,7.325399,102.202461,180.35321,1.055361,5511.805899,89099.05889,7.049626,604720.625,34219.08594,79717.6875,0,0.713968,0.040401,122,6,
6.460192,64135.24609,9.793593,7.312523,102.24324,180.425293,1.055358,5516.185917,89169.86246,7.044023,604391.75,34184.39063,79755.57031,0,0.713013,0.040328,122,6,
6.449135,64135.19141,9.793591,7.300354,102.281792,180.493484,1.055354,5520.327806,89236.81663,7.038729,604054.0625,34153.74609,79790.28125,0,0.71208,0.040262,122,6,
6.438213,64135.13672,9.793591,7.288254,102.320175,180.561386,1.055351,5524.453735,89303.51281,7.033467,603691.0625,34119.8125,79823.89063,0,0.711121,0.040192,122,6,
6.427064,64135.08203,9.793591,7.27585,102.359512,180.631119,1.055347,5528.683587,89371.88891,7.028079,603479.4375,34092.51953,79857.5625,-3.88078E+11,0.710327,0.040129,122,6,
6.416405,64135.02734,9.793591,7.263914,102.397385,180.698257,1.055344,5532.757369,89437.74214,7.022899,603098.75,34059.08984,79889.07813,0,0.709357,0.04006,122,6,
6.405752,64134.98047,9.793591,7.251907,102.435524,180.765945,1.05534,5536.861506,89504.08603,7.017688,602755.875,34025.15625,79920.33594,-3.88078E+11,0.708428,0.03999,122,6,
6.395298,64134.92578,9.793591,7.240075,102.473137,180.832703,1.055337,5540.91022,89569.53403,7.012554,602537.0625,34000.30469,79950.60156,0,0.707653,0.039932,122,6,
6.384876,64132.41797,9.793591,7.228214,102.510818,180.899719,1.055333,5544.968455,89635.13593,7.007148,602209.6875,33968.25781,79980.47656,0.000001,0.706751,0.039865,122,6,
6.374285,64134.82422,9.793591,7.216092,102.549339,180.968323,1.05533,5549.118361,89702.21969,7.00217,601918.875,33936.27734,80010.79688,-1.39678E+13,0.705881,0.039798,122,6,
6.36372,64134.76953,9.793591,7.203933,102.587997,181.037201,1.055326,5553.284673,89769.56867,6.996911,601624.5625,33906.89063,80040.95313,0,0.705007,0.039733,122,6,
6.352791,64134.72266,9.793591,7.191302,102.628113,181.10881,1.055323,5557.609731,89839.48378,6.991461,601391.6875,33877.74219,80072.07813,0,0.704186,0.039668,122,6,
6.342669,64134.66016,9.793591,7.179514,102.665588,181.175613,1.05532,5561.651704,89904.82281,6.986373,600978.5,33844.67578,80100.45313,0,0.703191,0.039601,122,6,
6.33184,64134.61328,9.793591,7.166855,102.705826,181.247559,1.055316,5565.99322,89975.00398,6.980918,600772.5,33816.01563,80130.60156,-3.19917E+13,0.702401,0.039536,122,6,
