AOA,Weight,Gravity,Pitch,TAS,IAS,Rho,Q,QS,Calculated CL,Lift,Drag,Thrust[0],Thrust[1],Cl,Cd,Wing Surface
5.803952,64131.527344,9.793585,6.453307,105.027573,185.440063,1.055131,5819.467178,94072.443455,6.676531,588499.000000,32495.822266,81150.398438,270.023438,0.658082,0.036338,16.165130
5.796452,64131.472656,9.793585,6.441585,105.068146,185.513580,1.055129,5823.948482,94144.884322,6.671388,588395.875000,32483.664062,81159.718750,1084653689655351312384.000000,0.657461,0.036297,16.165130
5.789019,64131.417969,9.793585,6.429906,105.108749,185.587097,1.055126,5828.435542,94217.418227,6.666246,588259.250000,32467.345703,81168.390625,1084653689655351312384.000000,0.656802,0.036250,16.165130
5.781567,64131.363281,9.793585,6.418157,105.149734,185.661346,1.055123,5832.965981,94290.653369,6.661063,588200.375000,32454.925781,81177.398438,0.000000,0.656226,0.036208,16.165130
5.774477,64131.308594,9.793585,6.406941,105.188965,185.732361,1.055120,5837.304730,94360.789808,6.656106,588128.687500,32444.271484,81185.476562,-0.000000,0.655659,0.036170,16.165130
5.767136,64131.261719,9.793585,6.395272,105.229935,185.806580,1.055118,5841.838216,94434.074204,6.650936,588010.687500,32427.160156,81194.273438,0.000000,0.655019,0.036122,16.165130
5.759987,64131.207031,9.793585,6.383862,105.270111,185.879364,1.055115,5846.284659,94505.951533,6.645872,587920.062500,32414.326172,81202.632812,0.000000,0.654419,0.036081,16.165130
5.752848,64131.152344,9.793585,6.372440,105.310463,185.952423,1.055112,5850.752941,94578.181889,6.640790,587889.687500,32404.433594,81210.750000,0.000000,0.653886,0.036042,16.165130
5.745743,64131.097656,9.793585,6.361022,105.350914,186.025681,1.055110,5855.233943,94650.617874,6.635703,587774.375000,32389.148438,81218.781250,0.000000,0.653257,0.035998,16.165130
5.738309,64131.050781,9.793585,6.349026,105.393532,186.102982,1.055107,5859.957593,94726.976282,6.630349,587688.437500,32374.259766,81227.500000,0.000000,0.652635,0.035952,16.165130
5.730855,64130.996094,9.793585,6.336959,105.436562,186.181000,1.055104,5864.728305,94804.095458,6.624950,587624.000000,32363.000000,81235.781250,-235836342196057148429799784448.000000,0.652033,0.035910,16.165130
5.723097,64130.941406,9.793585,6.324319,105.481804,186.263123,1.055102,5869.746520,94885.215564,6.619280,587469.250000,32344.568359,81244.656250,0.000000,0.651304,0.035859,16.165130
5.715282,64130.886719,9.793585,6.311542,105.527718,186.346512,1.055099,5874.841621,94967.578537,6.613534,587431.812500,32333.539062,81252.617188,9.460449,0.650698,0.035816,16.165130
5.708187,64130.816406,9.793585,6.299884,105.569778,186.422729,1.055096,5879.510422,95043.050302,6.608275,587331.375000,32323.816406,81259.570312,0.000000,0.650070,0.035777,16.165130
5.701202,64130.761719,9.793584,6.288376,105.611443,186.498215,1.055093,5884.138186,95117.858721,6.603071,587309.625000,32314.242188,81265.703125,0.000000,0.649534,0.035738,16.165130
5.694023,64130.710938,9.793584,6.276504,105.654587,186.576431,1.055091,5888.932089,95195.352777,6.597691,587246.562500,32302.259766,81273.929688,0.000000,0.648936,0.035696,16.165130
5.687036,64130.652344,9.793584,6.264914,105.696808,186.652969,1.055088,5893.624981,95271.213989,6.592431,587205.687500,32292.416016,81280.109375,0.000000,0.648374,0.035656,16.165130
5.680119,64130.597656,9.793584,6.253379,105.738998,186.729401,1.055086,5898.316326,95347.050189,6.587182,587097.375000,32278.867188,81286.968750,0.000000,0.647739,0.035613,16.165130
5.673349,64130.542969,9.793584,6.242096,105.780357,186.804306,1.055083,5902.917379,95421.426813,6.582042,587163.125000,32275.279297,81292.828125,0.000000,0.647306,0.035581,16.165130
5.666641,64130.488281,9.793584,6.230867,105.821587,186.879044,1.055081,5907.506402,95495.608960,6.576924,587069.250000,32262.435547,81299.390625,0.000000,0.646700,0.035539,16.165130
